epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.548,0.81193,3.00943,1.21416,0.47935,0.50238,0.43691,0.34536,0.75436,1.46536,1.39031,0.00332945,0.00332945,0.00332945
2,258.674,0.69183,1.52181,1.12524,0.75666,0.76579,0.80403,0.69964,0.58555,0.80746,1.1836,0.00655285,0.00655285,0.00655285
3,388.824,0.70125,1.31541,1.11692,0.72357,0.77399,0.81379,0.64691,0.81579,0.90044,1.43725,0.00966624,0.00966624,0.00966624
4,521.171,0.6857,1.17803,1.10194,0.89985,0.85687,0.90165,0.79745,0.51608,0.51786,1.10783,0.009505,0.009505,0.009505
5,662.591,0.62405,0.98129,1.06833,0.88345,0.91468,0.92143,0.8168,0.51679,0.42897,1.10282,0.00934,0.00934,0.00934
6,801.392,0.58835,0.87971,1.05079,0.89336,0.91069,0.91952,0.82555,0.51138,0.3909,1.06174,0.009175,0.009175,0.009175
7,937.548,0.5616,0.8187,1.03572,0.87259,0.95531,0.92881,0.86239,0.39821,0.31582,0.96892,0.00901,0.00901,0.00901
8,1067.27,0.54056,0.77264,1.02574,0.91843,0.93392,0.94845,0.87713,0.42328,0.31521,0.98092,0.008845,0.008845,0.008845
9,1199.3,0.52885,0.74651,1.02206,0.93517,0.9536,0.95608,0.8752,0.45559,0.2876,1.00219,0.00868,0.00868,0.00868
10,1330.36,0.5158,0.72716,1.01495,0.92107,0.95569,0.95091,0.87835,0.40866,0.27431,0.97782,0.008515,0.008515,0.008515
11,1462.34,0.50356,0.7024,1.00841,0.93401,0.9557,0.95396,0.89596,0.37399,0.25887,0.94372,0.00835,0.00835,0.00835
12,1593.42,0.4936,0.68691,1.00328,0.93683,0.97511,0.97484,0.92126,0.35609,0.23176,0.93066,0.008185,0.008185,0.008185
13,1729.1,0.4874,0.66646,1.00197,0.93549,0.9802,0.98101,0.92689,0.35598,0.22576,0.93269,0.00802,0.00802,0.00802
14,1865.36,0.48127,0.65889,0.99877,0.94477,0.9582,0.96939,0.9226,0.34088,0.22131,0.92379,0.007855,0.007855,0.007855
15,2003.51,0.47471,0.64551,0.99649,0.93191,0.97239,0.97223,0.92331,0.34579,0.21191,0.92079,0.00769,0.00769,0.00769
16,2143.47,0.46881,0.62993,0.99324,0.93294,0.97323,0.97734,0.93197,0.33207,0.20738,0.91773,0.007525,0.007525,0.007525
17,2282.43,0.46661,0.62124,0.9929,0.957,0.97129,0.98287,0.93523,0.33713,0.19634,0.92111,0.00736,0.00736,0.00736
18,2422.17,0.45946,0.61329,0.98948,0.9649,0.96788,0.98494,0.94391,0.32544,0.18724,0.91102,0.007195,0.007195,0.007195
19,2562.36,0.45759,0.60334,0.98821,0.96227,0.96926,0.98307,0.94122,0.32886,0.18824,0.9104,0.00703,0.00703,0.00703
20,2701.07,0.45313,0.59743,0.9845,0.96747,0.97428,0.98839,0.94967,0.32277,0.18209,0.90758,0.006865,0.006865,0.006865
21,2840.4,0.44672,0.58801,0.98403,0.9694,0.97544,0.98851,0.95065,0.31869,0.17886,0.90697,0.0067,0.0067,0.0067
22,2979.63,0.4456,0.57873,0.98469,0.97145,0.9731,0.98566,0.94665,0.31872,0.17539,0.9082,0.006535,0.006535,0.006535
23,3120.94,0.44204,0.57772,0.98276,0.96517,0.97352,0.98547,0.94882,0.31402,0.17458,0.9058,0.00637,0.00637,0.00637
24,3261.24,0.43485,0.56651,0.97993,0.97937,0.974,0.98956,0.95337,0.3147,0.16781,0.90401,0.006205,0.006205,0.006205
25,3401.16,0.43378,0.56643,0.9795,0.97673,0.98018,0.98885,0.9526,0.3163,0.16781,0.90181,0.00604,0.00604,0.00604
26,3539.79,0.43026,0.55838,0.97909,0.98062,0.98265,0.99001,0.95557,0.30954,0.1602,0.89722,0.005875,0.005875,0.005875
27,3678.84,0.4273,0.55073,0.97732,0.98221,0.98041,0.99033,0.95794,0.30628,0.15971,0.89773,0.00571,0.00571,0.00571
28,3818.05,0.41949,0.54426,0.97465,0.98236,0.97375,0.98913,0.95628,0.30446,0.16087,0.89793,0.005545,0.005545,0.005545
29,3957.7,0.41974,0.53431,0.97286,0.98182,0.98259,0.99073,0.95727,0.30191,0.15593,0.8977,0.00538,0.00538,0.00538
30,4096.99,0.41642,0.53414,0.9736,0.98101,0.98384,0.99068,0.95772,0.30018,0.15495,0.89561,0.005215,0.005215,0.005215
31,4235.3,0.41459,0.52369,0.97153,0.98229,0.98166,0.99073,0.95897,0.2967,0.15185,0.89455,0.00505,0.00505,0.00505
32,4375,0.41009,0.51992,0.97053,0.98111,0.98331,0.99104,0.95988,0.29548,0.1509,0.89436,0.004885,0.004885,0.004885
33,4515.11,0.41051,0.51696,0.97167,0.98287,0.98473,0.99159,0.96134,0.29506,0.15007,0.89333,0.00472,0.00472,0.00472
34,4654.81,0.40525,0.51286,0.97003,0.98426,0.98476,0.99217,0.96222,0.29419,0.14896,0.89244,0.004555,0.004555,0.004555
35,4795.95,0.40292,0.50432,0.96972,0.98454,0.98652,0.99258,0.96319,0.29321,0.1467,0.89178,0.00439,0.00439,0.00439
36,4934.85,0.40101,0.50329,0.96646,0.98643,0.98663,0.99248,0.96345,0.29282,0.14567,0.89137,0.004225,0.004225,0.004225
37,5074.91,0.399,0.49907,0.96825,0.9863,0.98644,0.99264,0.96388,0.29188,0.14494,0.89095,0.00406,0.00406,0.00406
38,5215.36,0.39239,0.48593,0.96427,0.9869,0.98731,0.99285,0.96385,0.29108,0.14349,0.89054,0.003895,0.003895,0.003895
39,5353.42,0.39049,0.48468,0.96225,0.98785,0.98755,0.99281,0.96387,0.29044,0.14238,0.89034,0.00373,0.00373,0.00373
40,5493.37,0.38907,0.48142,0.96445,0.98753,0.9868,0.99282,0.96425,0.28973,0.14127,0.88967,0.003565,0.003565,0.003565
41,5633.09,0.38469,0.47121,0.96101,0.98886,0.9868,0.99306,0.9648,0.2889,0.1404,0.88928,0.0034,0.0034,0.0034
42,5774.37,0.38253,0.47169,0.96176,0.98861,0.98782,0.99339,0.96463,0.28828,0.13944,0.88887,0.003235,0.003235,0.003235
43,5914.35,0.38131,0.46637,0.96234,0.98899,0.98743,0.99354,0.96482,0.28761,0.1386,0.88859,0.00307,0.00307,0.00307
