epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.6,0.88772,3.38171,1.28438,0.49442,0.43416,0.33187,0.27385,0.65675,1.62296,1.24871,0.00332556,0.00332556,0.00332556
2,282.03,0.74638,1.82756,1.17972,0.60189,0.68662,0.69075,0.57693,0.66372,1.13833,1.24742,0.00643915,0.00643915,0.00643915
3,419.494,0.74549,1.51847,1.16735,0.65931,0.65479,0.7251,0.59306,0.74547,1.26029,1.39607,0.00933274,0.00933274,0.00933274
4,557.413,0.71664,1.35091,1.15233,0.89878,0.83491,0.89581,0.79081,0.52088,0.51653,1.08477,0.00901,0.00901,0.00901
5,704.078,0.65908,1.14814,1.11679,0.84715,0.90524,0.91086,0.80609,0.50766,0.55425,1.07703,0.00868,0.00868,0.00868
6,841.974,0.61434,1.03275,1.09247,0.91135,0.90446,0.92015,0.82726,0.47709,0.37022,1.02275,0.00835,0.00835,0.00835
7,977.006,0.58675,0.9575,1.0773,0.91452,0.91994,0.92114,0.84945,0.41315,0.32772,0.97427,0.00802,0.00802,0.00802
8,1113.36,0.56303,0.91156,1.06802,0.91043,0.94442,0.92893,0.85797,0.41364,0.30712,0.96413,0.00769,0.00769,0.00769
9,1251.49,0.54923,0.87125,1.0586,0.89535,0.95949,0.93784,0.87977,0.3756,0.28236,0.94294,0.00736,0.00736,0.00736
10,1394.15,0.53216,0.848,1.04959,0.92361,0.94767,0.93859,0.88598,0.35298,0.25393,0.92868,0.00703,0.00703,0.00703
11,1536.19,0.52258,0.82249,1.04463,0.90498,0.954,0.94419,0.87836,0.39475,0.26362,0.97573,0.0067,0.0067,0.0067
12,1672.68,0.50922,0.7998,1.03973,0.93097,0.96644,0.95296,0.90379,0.3464,0.23471,0.92397,0.00637,0.00637,0.00637
13,1809.43,0.50089,0.77932,1.03435,0.91624,0.97379,0.95854,0.91309,0.33414,0.22175,0.91472,0.00604,0.00604,0.00604
14,1946.7,0.49457,0.76793,1.03189,0.9446,0.95993,0.96392,0.92101,0.33077,0.21908,0.91427,0.00571,0.00571,0.00571
15,2083.72,0.48648,0.74768,1.02836,0.96386,0.95993,0.97599,0.93172,0.32533,0.21127,0.91096,0.00538,0.00538,0.00538
16,2225.7,0.47682,0.73124,1.02417,0.9487,0.96374,0.97575,0.93483,0.32186,0.2042,0.90422,0.00505,0.00505,0.00505
17,2363.23,0.46998,0.71914,1.019,0.95524,0.96917,0.97709,0.93682,0.31418,0.1973,0.90531,0.00472,0.00472,0.00472
18,2502.18,0.46616,0.70773,1.01752,0.95996,0.97,0.97765,0.93781,0.31733,0.18962,0.90052,0.00439,0.00439,0.00439
19,2644.22,0.45664,0.69517,1.01416,0.96608,0.97844,0.98673,0.95107,0.30951,0.18402,0.89584,0.00406,0.00406,0.00406
20,2786.2,0.452,0.67851,1.01183,0.97449,0.97459,0.98895,0.95211,0.31337,0.17509,0.89135,0.00373,0.00373,0.00373
21,2944.58,0.38326,0.25423,1.04187,0.96467,0.98534,0.98839,0.95615,0.3051,0.17978,0.89015,0.0034,0.0034,0.0034
22,3081.44,0.37501,0.23725,1.03673,0.98053,0.98189,0.99107,0.95797,0.30356,0.16634,0.88646,0.00307,0.00307,0.00307
23,3220.03,0.36912,0.22608,1.03407,0.97304,0.98795,0.99104,0.9597,0.30531,0.16294,0.88256,0.00274,0.00274,0.00274
24,3354.91,0.36088,0.21339,1.02829,0.98309,0.98294,0.992,0.96266,0.29286,0.15723,0.88231,0.00241,0.00241,0.00241
25,3494.92,0.35205,0.20237,1.02144,0.98598,0.98937,0.99313,0.96618,0.289,0.14708,0.87909,0.00208,0.00208,0.00208
26,3633.21,0.34976,0.19348,1.01739,0.98617,0.98893,0.99315,0.96543,0.28643,0.14452,0.87771,0.00175,0.00175,0.00175
27,3768.82,0.34254,0.18384,1.01412,0.99124,0.98941,0.99391,0.9673,0.28392,0.14206,0.87592,0.00142,0.00142,0.00142
28,3906.15,0.33451,0.17523,1.00808,0.98989,0.99037,0.9941,0.96773,0.28548,0.14236,0.87521,0.00109,0.00109,0.00109
29,4042.34,0.32798,0.16594,1.0039,0.99082,0.98897,0.9942,0.96813,0.28171,0.13672,0.87359,0.00076,0.00076,0.00076
30,4179.04,0.32,0.15985,0.99879,0.98984,0.99249,0.99416,0.9681,0.27987,0.13479,0.87298,0.00043,0.00043,0.00043
